貨品編號,貨品名稱,規格,單位,單價未稅,特性描述,供應商號,供應商
BA01B0208,硬脂酸蔗糖酯S1570,1KG/包,克,0.702,,SA2001-1,豐慶貿易股份有限公司(22)
BA01B0209-1,脂肪酸甘油酯(乳化劑S),1KG/包,克,0.106,,SA60009,盛源食品原料股份有限公司(22)
BA01B0301,二矽-佳質,20公斤/包,克,0.103,,SA0001,佳質轉入(20)
BA01B0301-1,二矽-1-佳質,20公斤/包,克,0.094,,SA0001,佳質轉入(20)
BA01B0301-21,二矽-2-佳質,20KG/包,克,0.065,,SA0001,佳質轉入(20)
BA01F0101,黑糖香料-052585,10KG/罐,克,1.179,,SA2001-2,國華貿易股份有限公司(22)
BA01F0102-1,楓糖香料 WGC041,1KG/罐,克,1.06,,SA2001-2,國華貿易股份有限公司(22)
BA01F0103,香草粉,5KG*2/箱,克,0.352,,SA60007,新啟有限公司(21)
BA01F0106,巧克力香精-Y85S,5KG/罐,克,1.489,,SA60003,富貴(豐宇)貿易有限公司(21)
BA01F0111,阿華田香料TF-733,5KG/罐,克,0.916,,SA60007,新啟有限公司(21)
BA01F0112,香草香精FW81688(B),1kg*12罐/箱,克,1.168,,SA60018,孝青食品香料有限公司
BA01F0113,海鹽焦糖香料CX-60289,1KG/罐,克,1.094,,SA60021,澄芯貿易有限公司
BA01F0201,奶油香料-B3105C,5KG/罐,克,0.797,,SA60002,富凰企業股份有限公司(21)
BA01F0202-1,牛奶香料-MI2264,5KG/罐,克,3.442,,SA60003,富貴(豐宇)貿易有限公司(21)
BA01F0203,亞洲牛奶香料,1KG/包,克,0.883,,SA2001-2,國華貿易股份有限公司(22)
BA01F0205,鮮奶香料-94834/10X,1KG/罐,克,5.587,,SA60006,珍味豐企業有限公司(21)
BA01F0208,牛奶香料-810447THBH,5KG/罐,克,1.811,,SA60001,芬斯特股份有限公司(21)
BA01F0209,椰奶香料307702W,5KG/桶,克,1.99,,SA60012,向富實業股份有限公司(21)
BA01F0211,起司香料841246,4KG/罐,克,2.281,,SA60005,馥雅有限公司(21)
BA01F0212-1,煉乳香料5465T-04,5KG/罐,克,0.995,,SA60011,禾百實業股份有限公司(21)
BA01F0213,牛奶香料-SN768847,5KG/包,克,0.738,,SA60017,恆新股份有限公司
BA01F0215,牛奶糖香料CX-70288,5KG/罐,克,1.157,,SA60021,澄芯貿易有限公司
BA01F0301,紅茶料粉TY-11158,10KG/箱,克,2.156,,SA60007,新啟有限公司(21)
BA01F0304,抹茶香料-5158,5KG/罐,克,1.662,,SA60011,禾百實業股份有限公司(21)
BA01F0307,茶香料AR-820552,5KG/罐,克,1.794,,SA60001,芬斯特股份有限公司(21)
BA01F0308,紅茶香料-TM 06,5KG/罐,克,0.872,,SA60007,新啟有限公司(21)
BA01F0309,伯爵香料75284-74,1KG/罐,克,3.045,,SA2001-2,國華貿易股份有限公司(22)
BA01F0311,茶香料TK-02255,5KG/罐,克,1.565,,SA60020,高香貿易有限公司(21)
BA01F0402,咖啡香料810342T,5KG/罐.,克,3.915,,SA60001,芬斯特股份有限公司(21)
BA01F0501-1,芒果粉820121-TD0594,25KG/包,克,1.064,,SA60001,芬斯特股份有限公司(21)
BA01F0501-4,芒果香料810-266A,1KG/罐,克,4.66,,SA60001,芬斯特股份有限公司(21)
BA01F0503-3,檸檬香料-297925A,1KG/罐,克,7.116,,SA60001,芬斯特股份有限公司(21)
BA01F0503-4,萊姆檸檬-810309T,1KG/罐,克,5.61,,SA60001,芬斯特股份有限公司(21)
BA01F0504-1,草莓香料-298119A,1KG/罐,克,10.242,,SA60001,芬斯特股份有限公司(21)
BA01F0504-3,草莓粉-820201TD0590,25KG/包,克,1.039,,SA60001,芬斯特股份有限公司(21)
BA01F0504-4,草莓香料-65885,5KG/桶,克,1.016,,SA60002,富凰企業股份有限公司(21)
BA01F0506-1,芋頭香料-422474,5KG/罐,克,0.69,,SA60005,馥雅有限公司(21)
BA01F0506-10,芋頭香料 901460JW,5KG/桶,克,2.808,,SA60012,向富實業股份有限公司(21)
BA01F0506-11,芋頭香料-422474,5KG/罐,克,1.17,,SA0003,管制物料(20)
BA01F0506-4,芋頭香料-SR688,5KG/罐,克,1.12,,SA60005,馥雅有限公司(21)
BA01F0507-1,哈密瓜香料-48105T,5KG/罐,克,1.203,,SA60003,富貴(豐宇)貿易有限公司(21)
BA01F0507-2,哈密瓜粉-820125TD1090,25公斤/箱,克,0.66,,SA60001,芬斯特股份有限公司(21)
BA01F0507-3,哈密瓜香料-SR779,4KG/罐,克,1.802,,SA60005,馥雅有限公司(21)
BA01F0507-4,哈蜜瓜香料-007217Z1,5KG/桶,克,3.031,,SA60012,向富實業股份有限公司(21)
BA01F0509-5,水蜜桃香料-48593C,1KG/罐,克,3.325,,SA60003,富貴(豐宇)貿易有限公司(21)
BA01F0509-6,水蜜桃香料-sb713,1kg/罐,克,1.008,,SA60009,盛源食品原料股份有限公司(22)
BA01F0510-2,西瓜香料-025756Z1,5KG/罐,克,5.463,,SA60012,向富實業股份有限公司(21)
BA01F0511-7,鳳梨香料814349TM,1KG/罐,克,4.271,,SA60001,芬斯特股份有限公司(21)
BA01F0512-2,木瓜香料CX-60155,1KG/罐,克,1.425,,SA60021,澄芯貿易有限公司
BA01F0513-1,荔枝香料-8108,5KG/罐,克,0.78,,SA60005,馥雅有限公司(21)
BA01F0515-1,香蕉香料07770Z1,5KG/罐,克,4.668,,SA60012,向富實業股份有限公司(21)
BA01F0517-1,蘋果香料-SR847,5KG/桶,克,1.289,,SA60005,馥雅有限公司(21)
BA01F0518-1,酪梨香料014453W5,1KG/罐,克,4.977,,SA60012,向富實業股份有限公司(21)
BA01F0521-2,百香果香料 003430W,5KG/罐,克,1.295,,SA60012,向富實業股份有限公司(21)
BA01F0601-1,玫瑰香料-ROSE678020,5KG/罐,克,1.299,,SA60005,馥雅有限公司(21)
BA01F0610,蘇打香料TK-S230,5KG/罐,克,0.884,,SA60020,高香貿易有限公司(21)
BA01F0611,香蘭香料SM-216060,5KG/桶,克,0.952,,SA60022,盛美股份有限公司(21)
BA01F0801,榛果香料-298828A,1KG/罐,克,4.685,,SA60001,芬斯特股份有限公司(21)
BA01F0804-1,杏仁香料 A-T46276,5KG/桶,克,0.795,,SA60002,富凰企業股份有限公司(21)
BA01G0001,PG,215KG/鐵桶,克,0.063,,SA2003,信化企業有限公司(21)
BA01G0001-1,PG-1,20KG/桶,克,0.552,,SA0001,佳質轉入(20)
BA01G0101,100-紅R#6,1KG/盒,克,0.704,,SA2005,信意企業股份有限公司(21)
BA01G0101-1,10-紅R#6,1KG/盒,克,0.069,,SA0001,佳質轉入(20)
BA01G0102,100-紅R#40,1KG/盒,克,1.45,,SA2001-1,豐慶貿易股份有限公司(22)
BA01G0102-3,FDA-食用色素紅色40號,1KG/瓶,克,1.149,,SA2005,信意企業股份有限公司(21)
BA01G0102-4,10-FDA紅R#40,1KG/盒,克,0.19,,SA0001,佳質轉入(20)
BA01G0102-5,1-FDA紅R#40,1KG/盒,克,0.047,,SA0001,佳質轉入(20)
BA01G0103,100-紅R#7,1KG/盒,克,7.973,,SA2001-1,豐慶貿易股份有限公司(22)
BA01G0201,100-黃Y#4,1KG/盒,克,0.683,,SA2001-1,豐慶貿易股份有限公司(22)
BA01G02011,100-黃Y#4-1,1KG/盒,克,0.47,,SA0001,佳質轉入(20)
BA01G0201-1,10-黃Y#4,1KG/盒,克,0.099,,SA0001,佳質轉入(20)
BA01G0201-2,1-黃Y#4,1KG/盒,克,0.02,,SA0001,佳質轉入(20)
BA01G0202,100-黃Y#5,1KG/盒,克,0.788,,SA2001-1,豐慶貿易股份有限公司(22)
BA01G0202-1,10-黃Y#5,1KG/盒,克,0.133,,SA0001,佳質轉入(20)
BA01G0202-4,FDA證-食用色素黃色5號,1KG/瓶,克,0.912,,SA2005,信意企業股份有限公司(21)
BA01G0202-5,10-FDA黃Y#5,1KG/盒,克,0.083,,SA0001,佳質轉入(20)
BA01G0202-6,1-FDA黃Y#5,1KG/盒,克,0.032,,SA0001,佳質轉入(20)
BA01G0202-7,FDA-食用色素黃色5號-1,1KG/盒,克,0.031,,SA0001,佳質轉入(20)
BA01G0301,100-藍B#1,1KG/盒,克,1.911,,SA2001-1,豐慶貿易股份有限公司(22)
BA01G0301-1,10-藍B#1,1KG/盒,克,0.302,,SA0001,佳質轉入(20)
BA01G0301-6,1-FDA藍B#1,1KG/盒,克,0.051,,SA0001,佳質轉入(20)
BA01G0702-1,100-焦糖色素P-IV-200加二矽,1KG/包,克,0.289,,SA0001,佳質轉入(20)
M001,香料-1,,一,,,,
M002,香料-2,,一,,,,
M003,香料-3,,一,,,,
M004,香料-4,,一,,,,
M011,----------空白1,,一,,,,
M012,----------空白2,,一,,,,
M013,----------空白3,,一,,,,
M014,----------空白4,,一,,,,
M021,膠類-1,,一,,,,
M101,----------泡10分鐘----------,,次,,,,
M102,----------泡20分鐘----------,,次,,,,
M102-1,----------泡20分鐘----------,,次,,,,
M103,----------泡30分鐘----------,,次,,,,
M103-1,----------泡30分鐘----------,,次,,,,
M104,----------泡隔夜----------,,次,,,,
M105,----------泡2小時----------,,次,,,,
M201,----------仔細混合----------,,次,,,,
M202,----------仔細混合----------,,次,,,,
M203,----------仔細混合----------,,次,,,,
M301,----------合計----------,,克,,,,
M302,----------合計----------,,克,,,,
M303,----------合計----------,,克,,,,
M304,----------合計----------,,克,,,,
